pass,obj,delay,logistic
1,65.0,61.0,69
2,65.0,61.0,69
3,65.0,61.0,69
4,65.0,61.0,69
5,65.0,61.0,69
6,65.0,61.0,69
7,65.0,61.0,69
8,65.0,61.0,69
9,65.0,61.0,69
10,65.0,61.0,69
11,65.0,61.0,69
12,-41.5,-200.0,117
13,-41.5,-200.0,117
14,-41.5,-200.0,117
15,-41.5,-200.0,117
16,-41.5,-200.0,117
17,-41.5,-200.0,117
18,-41.5,-200.0,117
19,-101.5,-394.0,191
20,-101.5,-394.0,191
21,-101.5,-394.0,191
22,-115.5,-505.0,274
23,-115.5,-505.0,274
24,-115.5,-505.0,274
25,-115.5,-505.0,274
26,-115.5,-505.0,274
27,-115.5,-505.0,274
28,-115.5,-505.0,274
29,-115.5,-505.0,274
30,-115.5,-505.0,274
31,-115.5,-505.0,274
32,-115.5,-505.0,274
33,-121.0,-508.0,266
34,-121.0,-508.0,266
35,-121.0,-508.0,266
36,-117.5,-508.0,273
37,-117.5,-508.0,273
38,-117.5,-508.0,273
39,-117.5,-508.0,273
40,-117.5,-508.0,273
41,-117.5,-508.0,273
42,-117.5,-508.0,273
43,-117.5,-508.0,273
44,-117.5,-508.0,273
45,-117.5,-508.0,273
46,-117.5,-508.0,273
47,-117.5,-508.0,273
48,-121.0,-508.0,266
49,-121.0,-508.0,266
50,-121.0,-508.0,266
51,-121.0,-508.0,266
52,-121.0,-508.0,266
53,-121.0,-508.0,266
54,-121.0,-508.0,266
55,-111.5,-532.0,309
56,-111.5,-532.0,309
57,-105.5,-514.0,303
58,-105.5,-514.0,303
59,-105.5,-514.0,303
60,-105.5,-514.0,303
61,-105.5,-514.0,303
62,-105.5,-514.0,303
63,-105.5,-514.0,303
64,-105.5,-514.0,303
65,-105.5,-514.0,303
66,-105.5,-514.0,303
67,-105.5,-514.0,303
68,-105.5,-514.0,303
69,-105.5,-514.0,303
70,-105.5,-514.0,303
71,-105.5,-514.0,303
72,-105.5,-514.0,303
73,-105.5,-514.0,303
74,-105.5,-514.0,303
75,-105.5,-514.0,303
76,-84.5,-508.0,339
77,-84.5,-508.0,339
78,-84.5,-508.0,339
79,-84.5,-508.0,339
80,-84.5,-508.0,339
81,-84.5,-508.0,339
82,-84.5,-508.0,339
83,-84.5,-508.0,339
84,-84.5,-508.0,339
85,-84.5,-508.0,339
86,-84.5,-508.0,339
87,-84.5,-508.0,339
88,-84.5,-508.0,339
89,-84.5,-508.0,339
90,-84.5,-508.0,339
91,-84.5,-508.0,339
92,-84.5,-508.0,339
93,-84.5,-508.0,339
94,-90.5,-487.0,306
95,-90.5,-487.0,306
96,-90.5,-487.0,306
97,-90.5,-487.0,306
98,-90.5,-487.0,306
99,-90.5,-487.0,306
100,-90.5,-487.0,306
101,-90.5,-487.0,306
102,-90.5,-487.0,306
103,-90.5,-487.0,306
104,-99.5,-541.0,342
105,-99.5,-541.0,342
106,-99.5,-541.0,342
107,-99.5,-541.0,342
108,-99.5,-541.0,342
109,-99.5,-541.0,342
110,-99.5,-541.0,342
111,-99.5,-541.0,342
112,-99.5,-541.0,342
113,-99.5,-541.0,342
114,-99.5,-541.0,342
115,-99.5,-541.0,342
116,-99.5,-541.0,342
117,-103.0,-520.0,314
118,-103.0,-520.0,314
119,-103.0,-520.0,314
120,-103.0,-520.0,314
121,-103.0,-520.0,314
122,-103.0,-520.0,314
123,-103.0,-520.0,314
124,-103.0,-520.0,314
125,-103.0,-520.0,314
126,-103.0,-520.0,314
127,-103.0,-520.0,314
128,-98.0,-521.0,325
129,-98.0,-521.0,325
130,-98.0,-521.0,325
131,-98.0,-521.0,325
132,-98.0,-521.0,325
133,-98.0,-521.0,325
134,-105.0,-488.0,278
135,-105.0,-488.0,278
136,-105.0,-488.0,278
137,-105.0,-488.0,278
138,-98.5,-508.0,311
139,-98.5,-508.0,311
140,-98.5,-508.0,311
141,-102.5,-500.0,295
142,-102.5,-500.0,295
143,-102.5,-500.0,295
144,-102.5,-500.0,295
145,-102.5,-500.0,295
146,-102.5,-500.0,295
147,-80.5,-511.0,350
148,-91.5,-487.0,304
149,-91.5,-487.0,304
150,-91.5,-487.0,304
151,-91.5,-487.0,304
152,-91.5,-487.0,304
153,-109.0,-560.0,342
154,-109.0,-560.0,342
155,-109.0,-560.0,342
156,-109.0,-560.0,342
157,-108.5,-538.0,321
158,-108.5,-538.0,321
159,-108.5,-538.0,321
160,-108.5,-538.0,321
161,-108.5,-538.0,321
162,-108.5,-538.0,321
163,-108.5,-538.0,321
164,-79.0,-545.0,387
165,-79.0,-545.0,387
166,-91.5,-542.0,359
167,-91.5,-542.0,359
168,-91.5,-542.0,359
169,-91.5,-542.0,359
170,-103.5,-560.0,353
171,-98.0,-557.0,361
172,-98.0,-557.0,361
173,-98.0,-557.0,361
174,-98.0,-557.0,361
175,-98.0,-557.0,361
176,-98.0,-557.0,361
177,-103.0,-552.0,346
178,-103.0,-552.0,346
179,-103.0,-552.0,346
180,-103.0,-552.0,346
181,-103.0,-552.0,346
182,-103.0,-552.0,346
183,-103.0,-552.0,346
184,-103.0,-552.0,346
185,-103.0,-552.0,346
186,-103.0,-552.0,346
187,-103.0,-552.0,346
188,-103.0,-552.0,346
189,-103.0,-552.0,346
190,-94.0,-572.0,384
191,-94.0,-572.0,384
192,-94.0,-572.0,384
193,-94.0,-572.0,384
194,-94.0,-572.0,384
195,-94.0,-572.0,384
196,-94.0,-572.0,384
197,-94.0,-572.0,384
198,-94.0,-572.0,384
199,-94.0,-572.0,384
200,-94.0,-572.0,384
201,-94.0,-572.0,384
202,-94.0,-572.0,384
203,-94.0,-572.0,384
204,-94.0,-572.0,384
205,-94.0,-572.0,384
206,-109.0,-646.0,428
207,-109.0,-646.0,428
208,-109.0,-646.0,428
209,-109.0,-646.0,428
210,-109.0,-646.0,428
211,-109.0,-646.0,428
212,-109.0,-646.0,428
213,-109.0,-646.0,428
214,-109.0,-646.0,428
215,-109.0,-646.0,428
216,-109.0,-646.0,428
217,-109.0,-646.0,428
218,-109.0,-646.0,428
219,-109.0,-646.0,428
220,-109.0,-646.0,428
221,-109.0,-646.0,428
222,-109.0,-646.0,428
223,-106.0,-647.0,435
224,-106.0,-647.0,435
225,-106.0,-647.0,435
226,-106.0,-647.0,435
227,-106.0,-647.0,435
228,-106.0,-647.0,435
229,-106.0,-647.0,435
230,-106.0,-647.0,435
231,-106.0,-647.0,435
232,-106.0,-647.0,435
233,-106.0,-647.0,435
234,-106.0,-647.0,435
235,-106.0,-647.0,435
236,-106.0,-647.0,435
237,-106.0,-647.0,435
238,-106.0,-647.0,435
239,-115.0,-646.0,416
240,-115.0,-646.0,416
241,-115.0,-646.0,416
242,-115.0,-646.0,416
243,-115.0,-646.0,416
244,-115.0,-646.0,416
245,-115.0,-646.0,416
246,-115.0,-646.0,416
247,-115.0,-646.0,416
248,-115.0,-646.0,416
249,-115.0,-646.0,416
250,-115.0,-646.0,416
251,-115.0,-646.0,416
252,-116.0,-646.0,414
253,-116.0,-646.0,414
254,-116.0,-646.0,414
255,-116.0,-646.0,414
256,-116.0,-646.0,414
257,-116.0,-646.0,414
258,-116.0,-646.0,414
259,-125.5,-626.0,375
260,-125.5,-626.0,375
261,-111.0,-579.0,357
262,-111.0,-579.0,357
263,-111.0,-579.0,357
264,-111.0,-579.0,357
265,-111.0,-579.0,357
266,-111.0,-579.0,357
267,-111.0,-579.0,357
268,-111.0,-579.0,357
269,-111.0,-579.0,357
270,-98.5,-669.0,472
271,-98.5,-669.0,472
272,-98.5,-669.0,472
273,-98.5,-669.0,472
274,-98.5,-669.0,472
275,-98.5,-669.0,472
276,-98.5,-669.0,472
277,-98.5,-669.0,472
278,-98.5,-669.0,472
279,-98.5,-669.0,472
280,-98.5,-669.0,472
281,-98.5,-669.0,472
282,-98.5,-669.0,472
283,-98.5,-669.0,472
284,-98.5,-669.0,472
285,-108.0,-655.0,439
286,-112.5,-640.0,415
287,-112.5,-640.0,415
288,-112.5,-640.0,415
289,-112.5,-640.0,415
290,-111.5,-641.0,418
291,-111.5,-641.0,418
292,-111.5,-641.0,418
293,-111.5,-641.0,418
294,-88.5,-611.0,434
295,-88.5,-611.0,434
296,-88.5,-611.0,434
297,-88.5,-611.0,434
298,-101.0,-628.0,426
299,-96.0,-638.0,446
300,-79.5,-653.0,494
301,-114.5,-666.0,437
302,-114.5,-666.0,437
303,-114.5,-666.0,437
304,-124.5,-664.0,415
305,-124.5,-664.0,415
306,-124.5,-664.0,415
