pass,obj,delay,logistic
1,2.2095238095238083,-31.047619047619047,24.38095238095238
2,2.085714285714285,-29.428571428571427,23.095238095238095
3,-1.666666666666668,-27.238095238095237,15.380952380952381
4,2.0952380952380927,-26.61904761904762,21.238095238095237
5,1.4476190476190465,-31.38095238095238,23.333333333333332
6,-2.9523809523809526,-26.952380952380953,13.047619047619047
7,1.3809523809523783,-33.04761904761905,24.333333333333332
8,0.7809523809523798,-31.61904761904762,22.38095238095238
9,4.4571428571428555,-31.428571428571427,28.38095238095238
10,-2.447619047619049,-29.19047619047619,15.380952380952381
11,-1.438095238095239,-30.238095238095237,17.761904761904763
12,-0.4476190476190479,-27.19047619047619,17.38095238095238
13,2.58095238095238,-32.04761904761905,25.666666666666668
14,-1.4476190476190478,-27.904761904761905,16.19047619047619
15,1.8476190476190455,-30.095238095238095,23.142857142857142
16,3.542857142857142,-30.571428571428573,26.285714285714285
17,2.78095238095238,-31.761904761904763,25.80952380952381
18,-0.48571428571428654,-28.0,17.857142857142858
19,0.46666666666666584,-26.761904761904763,18.61904761904762
20,-1.1714285714285726,-29.714285714285715,17.857142857142858
21,-1.7333333333333336,-26.761904761904763,14.952380952380953
22,-1.057142857142858,-31.428571428571427,19.19047619047619
23,-1.4952380952380955,-26.952380952380953,15.476190476190476
24,-1.2571428571428587,-29.428571428571427,17.523809523809526
25,1.9714285714285704,-32.42857142857143,24.904761904761905
26,-3.295238095238096,-28.80952380952381,13.714285714285714
27,-1.5333333333333354,-31.61904761904762,18.523809523809526
28,1.4095238095238078,-32.19047619047619,23.80952380952381
29,1.3333333333333333,-27.38095238095238,20.476190476190474
30,2.152380952380952,-29.047619047619047,22.952380952380953
31,1.0857142857142863,-31.428571428571427,22.761904761904763
32,0.26666666666666505,-31.904761904761905,21.714285714285715
33,2.7047619047619027,-27.80952380952381,23.047619047619047
34,-1.1428571428571441,-29.142857142857142,17.523809523809526
35,1.7619047619047619,-32.523809523809526,24.61904761904762
36,-1.5428571428571431,-30.0,17.428571428571427
37,1.3523809523809514,-31.761904761904763,23.428571428571427
38,1.323809523809523,-28.476190476190474,21.19047619047619
39,-2.152380952380952,-31.80952380952381,17.61904761904762
40,0.9619047619047614,-32.38095238095238,23.19047619047619
41,1.4095238095238092,-29.904761904761905,22.285714285714285
42,1.7142857142857115,-30.428571428571427,23.142857142857142
43,-0.8571428571428571,-30.0,18.571428571428573
44,3.5333333333333328,-32.38095238095238,27.476190476190474
45,-1.9809523809523821,-29.80952380952381,16.571428571428573
46,-1.5047619047619045,-29.761904761904763,17.333333333333332
47,1.8476190476190482,-31.095238095238095,23.80952380952381
48,-0.5523809523809534,-28.952380952380953,18.38095238095238
49,0.48571428571428515,-30.428571428571427,21.095238095238095
50,0.47619047619047616,-30.238095238095237,20.952380952380953
51,-1.438095238095239,-29.238095238095237,17.095238095238095
52,-0.9714285714285731,-30.142857142857142,18.476190476190474
